timestamp	px_est	py_est	v_est	yaw_est	yawrate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt	x_rmse	y_rmse	vx_rmse	vy_rmse
1477010448900000	19.4645	15.9967	4.71816	2.04923	0.604451	L	0.0147325	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	2.0098	0.548437	0.060435	0.089614	0.453892	0.370752
1477010448950000	19.3636	16.2051	4.71584	2.0637	0.569246	R	1.85257	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	2.03722	0.548915	0.0602822	0.0893557	0.452045	0.369408
1477010449000000	19.2543	16.3826	4.67239	2.09357	0.571846	L	0.69308	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	2.06467	0.549305	0.0601398	0.0893228	0.450203	0.368238
1477010449050000	19.1366	16.5793	4.6655	2.1232	0.574959	R	0.274356	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	2.09213	0.549609	0.0599938	0.089401	0.448384	0.367134
1477010449100000	19.0062	16.7893	4.68771	2.1519	0.574368	L	0.139256	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	2.11961	0.549826	0.0598127	0.0894462	0.446601	0.365987
1477010449150000	18.8489	16.9812	4.70208	2.21248	0.64363	R	6.48894	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	2.1471	0.549957	0.0595711	0.089591	0.445155	0.365244
1477010449200000	18.6749	17.2162	4.79156	2.24716	0.644064	L	1.8446	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.1746	0.55	0.0594365	0.0894537	0.444047	0.364285
1477010449250000	18.5733	17.4209	4.77166	2.22899	0.543695	R	6.1297	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	2.2021	0.549957	0.0592005	0.0892651	0.442347	0.362946
1477010449300000	18.3594	17.6127	4.83285	2.27635	0.563379	L	3.83132	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.2296	0.549826	0.0593077	0.0890793	0.440943	0.361663
1477010449350000	18.2233	17.8045	4.82361	2.27836	0.508954	R	2.32456	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.25709	0.549609	0.0592984	0.0888749	0.439295	0.360272
1477010449400000	18.092	17.9907	4.8054	2.29425	0.49939	L	0.905522	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.28457	0.549305	0.0591472	0.0886602	0.437601	0.358881
1477010449450000	17.9161	18.1453	4.79038	2.33859	0.536424	R	2.03333	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.31204	0.548915	0.0590891	0.0885921	0.435979	0.357596
1477010449500000	17.7853	18.2879	4.72097	2.35998	0.53225	L	1.09863	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	2.33948	0.548437	0.0588827	0.0887893	0.434313	0.3564
1477010449550000	17.6521	18.4691	4.70477	2.36669	0.502868	R	6.63744	18.8558	18.1365	17.6334	18.5697	-3.43247	3.35973	2.3669	0.547873	0.0586819	0.0888851	0.432709	0.355097
1477010449600000	17.4576	18.6508	4.75235	2.39442	0.504579	L	0.488034	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	2.3943	0.547223	0.0584611	0.0888529	0.431091	0.353773
1477010449650000	17.2769	18.7918	4.73693	2.43021	0.524193	R	1.78185	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	2.42166	0.546486	0.0582437	0.0889786	0.429485	0.35251
